osm_type,osm_id,name,lat,lon,address,city,website,review
way,806288368,Mint Valley Golf Course,46.1662084,-122.9812539,4002 Pennsylvania Longview WA 98632,Longview,,
way,454711076,Moses Lake Golf Course,47.107849,-119.3537554,1373 Road F.2 NE Moses Lake WA 98837,Moses Lake,https://www.themoseslakegolfclub.com/,
way,380158529,Mount Adams Country Club,46.3368415,-120.3128133,,,,
way,53056022,Mount Si Golf Course,47.5169918,-121.794381,9010 Boalch Ave SE Snoqualmie WA 98065,Snoqualmie,https://www.mtsigolf.com/,
way,233554608,Newaukum Valley Golf Course,46.6088844,-122.8897996,,,,
way,35451043,Nile Shrine Golf Course,47.7813988,-122.3223864,6601 244th Street Southwest Mountlake Terrace WA 98043,Mountlake Terrace,,
way,1296261579,North Bellingham Golf Course,48.825126,-122.4971627,205 West Smith Road Bellingham 98226,Bellingham,https://northbellinghamgolf.com/,
relation,6002727,Northshore Golf Course,47.2934538,-122.3928306,,,,
way,1380483807,O'Sullivan Sportsman Resort,46.9677467,-119.3452709,,,,
relation,417687,Oakbrook Golf & Country Club,47.1903148,-122.5455123,,,,
way,232715170,Oakridge Golf Course,47.0013738,-123.4555031,1052 Monte Elma Road Elma WA 98541,Elma,https://oaksridgegolfcourse.com/,
way,722809416,Oasis Golf Course,47.2873199,-119.5768803,,,,
relation,18617818,Ocean Shores Golf Course,46.9955884,-124.1584469,,,,
way,242554603,Odessa Golf & RV,47.3295229,-118.7043302,,,https://golfodessawa.com/,
way,632748518,Olympia Country & Golf Club,47.0815335,-122.9407705,,,,
relation,13192028,Orcas Island Golf Course,48.6711289,-122.9253944,,,,
way,150261159,Orchard Hills Golf Course,45.5802568,-122.3237286,,,,
way,242169874,Oroville Golf Club,48.9545221,-119.4791666,,,,
way,242391071,Othello Golf Club,46.7928149,-119.2096116,,,,
way,44617747,Overlake Golf & Country Club,47.6265082,-122.2324607,,,,
way,39515245,Palouse Ridge Golf Course,46.7367239,-117.1408702,,,,
relation,17655349,Pasadena Ridge Apartments Golf Course,47.7009451,-117.2844851,,,,
way,224387835,Pasco Golfland,46.2543262,-119.1402672,,,,
relation,287559,Peninsula Golf Club,48.1015726,-123.39823,,,,
way,1185599287,Peninsula Golf Course,46.3746069,-124.0508263,9604 Pacific Way Long Beach WA 98631,Long Beach,https://www.peninsulagolfcourse.com,
way,379678237,Pheasant Creek Golf Course,46.0620469,-118.659778,,,,
way,927264982,Pine Acres Par 3,47.7645354,-117.4036724,,,,
way,151436423,Pine Crest Golf Course,45.7228632,-122.6964409,2415 Northwest 143rd Street Vancouver WA 98685,Vancouver,https://pinecrestgc.net/,
way,183524786,Plateau Club,47.6053512,-122.0020681,,,,
way,235691718,Port Townsend Golf Park,48.1177431,-122.7748941,1948 Blaine Stret Port Townsend WA 98368,Port Townsend,,
way,142543656,Practice Green,46.5308232,-124.0531701,,,,
relation,20132200,Prospector Golf Course,47.2076148,-121.007862,,,https://www.destinationhotels.com/suncadia-resort/golf/golf-courses/prospector,
way,786414609,Putting Green,48.4010659,-122.2780215,,,,
relation,3396482,Quail Ridge Golf Course,46.3671935,-117.0811528,,,,
way,40823946,Rainier Golf & Country Club,47.5025124,-122.309003,,,,
relation,19777946,Raspberry Ridge Golf Course,48.8899369,-122.4421533,,,,
way,254500203,Red Wolf Golf Club,46.4171776,-117.0786416,1676 Elm Street Clarkson WA 99403,Clarkson,,
way,106555370,Redwood Golf Center,47.7175459,-122.1357495,,,,
relation,8380159,Ritzville Golf Course,47.1214059,-118.3692186,104 East 10th Avenue Ritzville WA 99169,Ritzville,,
way,378068562,River Ridge Golf Course,46.6441963,-120.5209005,,,,
relation,5316829,Riverbend 18-Hole Golf Course,47.3804699,-122.271321,2019 West Meeker Street Kent WA 98032,Kent,,
way,1000673195,Riverbend Driving Range,47.3797349,-122.2616053,,,,
way,25923931,Riverbend Golf Complex,47.3813975,-122.2668854,2019 West Meeker Street Kent WA 98032,Kent,,
way,633496931,Riverbend Golf Course,47.3828972,-122.2666287,,,,
way,50288749,Riverside Golf Club,46.6743929,-122.9903618,1451 Northwest Airport Road Chehalis WA 98532,Chehalis,https://playriversidegolf.com,
way,240871283,Riverwoods Golf Course,46.6537532,-123.7267345,2424 Fowler Road Raymond WA 98577,Raymond,https://riverwoodsgolf.com/,
relation,19187959,Riviera Golf Course,47.1590686,-122.6907041,,,,
relation,17528261,Rock Island Golf Course,47.3731438,-120.1331788,314 Saunders Rd Rock Island WA 98850,Rock Island,http://rockislandgolfcourse.com/,
relation,5292005,Rolling Hills Golf Course,47.6177056,-122.6158846,2485 Northeast McWilliams Road Bremerton 98311,Bremerton,https://www.rollinghills-golfcourse.com/,"Merged 2 OSM records (node/11223842238, relation/5292005) — confirmed one 18-hole course"
relation,20132202,Rope Rider Golf Course,47.2067122,-120.9942784,,,https://www.destinationhotels.com/suncadia-resort/golf/golf-courses/rope-rider,
way,1030783338,Royal City Golf Course,46.884873,-119.5625772,,,,
way,149816455,Royal Oaks Golf Course,45.6495434,-122.5788154,,,,
way,1482313573,Sage Hills Golf Club,46.9336933,-119.1334507,,,https://www.sagehillsgolf.com/,
way,1002185812,Sahalee Country Club,47.6351364,-122.055192,21200 Northeast Sahalee Country Club Drive Sammamish WA 98074,Sammamish,https://www.sahalee.com/,
way,226885836,Salish Cliffs Golf Club,47.1195656,-123.1089844,,,,
way,1245158214,San Juan Golf & Tennis Club,48.5008887,-123.0282265,,,,
way,955950016,Sand Point Country Club,47.68664,-122.2740012,,,,
way,300669085,Sandy Point Golf,48.804839,-122.6796706,,,,
way,230276767,Scott Lake Golf Course,46.9129795,-122.9333233,,,,
way,35451517,Seattle Golf Club,47.7377901,-122.3609661,,,,
way,547700155,Semiahmoo Golf & Country Club,48.9624845,-122.780501,,,,
way,255477326,Shelter Bay Community Golf Course,48.3816694,-122.5165285,,,,
way,1451804150,Shenandoah Forest Park Golf Course,47.7939818,-117.3626484,,,,
relation,4076246,Skagit Golf & Country Club,48.463612,-122.3895079,,,,
way,274619566,Skamania Lodge Golf Course,45.6871336,-121.9082906,,,https://www.skamania.com/portland-golf-courses.php,
way,1328707092,Sky Ridge Golf Course,48.1123829,-123.1632396,,,,
node,13278773763,Sky Ridge Golf Course & Driving Range,48.1094621,-123.1597452,7015 Old Olympic Highway Sequim WA 98382,Sequim,,
way,187532596,Skyline Golf Course,46.1987816,-123.360092,,,,
way,235184973,Snohomish Golf Course,47.9227799,-122.0284669,7805 147th Ave SE Snohomish WA 98290,Snohomish,,
way,53055999,Snoqualmie Falls Golf Course,47.5588981,-121.8757082,35109 SE Fish Hatchery Road Fall City WA 98024,Fall City,https://snoqualmiefallsgolf.com/,
way,936121368,St John Golf & Country Club,47.093169,-117.5934874,400 West Front Street WA,,,
way,441369095,Sudden Valley Golf Course,48.7170581,-122.3278234,,,https://www.suddenvalleygolfcourse.com/,
way,204495958,Sun Country Golf & RV Park,47.1881509,-121.0519966,,,,
relation,12744338,Sun Willows Golf Course,46.2523811,-119.1080726,,,https://www.playsunwillows.com,
way,380489869,Suntides Golf Course,46.637405,-120.5859998,,,,
way,1185624939,Surfside Golf Course,46.527876,-124.0494083,,,,
way,305868353,Swinomish Golf Links,48.4564316,-122.5764237,12518 Christianson Road Anacortes 98221,Anacortes,http://www.swinomishgolflinks.com,
way,51244841,Tacoma Country & Golf Club,47.1338145,-122.5355215,13204 Country Club Drive Southwest Lakewood WA 98498,Lakewood,https://www.golftcgc.com/,
way,94252069,Tahoma Valley Golf and Country Club,46.9402321,-122.6175796,,,,
way,29544162,Tam o'Shanter Golf & Country Club,47.6253401,-122.0968371,,,https://www.tamoshanter.net/,
relation,8334775,Tapps Island Golf Course,47.2296346,-122.1594611,20818 Island Parkway East Lake Tapps WA 98391,Lake Tapps,https://tappsisland.net/,
way,262286781,Tekoa Golf Course,47.2191764,-117.0621584,,,,
way,29468550,The Bellevue Golf Course,47.6565288,-122.1484078,,,,
way,236359013,The Blue Heron Golf Course,47.6258051,-121.925401,,,,
way,677694568,The Club at Snoqualmie Ridge,47.5384033,-121.8600675,,,,
relation,420288,The Golf Club at Hawks Prairie - The Links,47.0992002,-122.7644456,,,,
relation,420287,The Golf Club at Hawks Prairie - The Woodlands,47.0923552,-122.7496109,,,,
way,54453779,The Golf Club at Newcastle,47.5339867,-122.1420127,,,https://www.newcastlegolf.com/,
relation,9098120,The Golf Club at Redmond Ridge,47.7072895,-122.0254452,11825 Trilogy Parkway Northeast Redmond WA 98053,Redmond,https://redmondridgegolf.com/,
